Block,Reward360,Reward180,Reward90,RewardFlexible
142008,341058925632006859930237,255794194224005144947677,170529462816003429965118,85264731408001714982559
143008,343600179047111370495637,257700134285333527871727,171800089523555685247818,85900044761777842623909
144008,346140801508408837503600,259605601131306628127700,173070400754204418751800,86535200377102209375900
145008,348680793205157026734714,261510594903867770051036,174340396602578513367357,87170198301289256683678
146008,351220154326556890203731,263415115744917667652798,175610077163278445101865,87805038581639222550932
147008,353758885061752675599201,265319163796314506699400,176879442530876337799600,88439721265438168899800
148008,356296985599831867915671,267222739199873900936753,178148492799915933957835,89074246399957966978917
149008,358834456129825269709418,269125842097368952282063,179417228064912634854709,89708614032456317427354
150008,361371296840706920842713,271028472630530190632035,180685648420353460421356,90342824210176730210678
151008,363907507921394258995296,272930630941045694246472,181953753960697129497648,90976876980348564748824
152008,366443089560747981040826,274832317170560985780619,183221544780373990520413,91610772390186995260206
153008,368978041947572188966410,276733531460679141724807,184489020973786094483205,92244510486893047241602
154008,371512365270614295024906,278634273952960721268679,185756182635307147512453,92878091317653573756226
155008,374046059718565167654452,280534544788923875740839,187023029859282583827226,93511514929641291913613
156008,376579125480059007446868,282434344110044255585151,188289562740029503723434,94144781370014751861717
157008,379111562743673471179249,284333672057755103384436,189555781371836735589624,94777890685918367794812
158008,381643371697929649926040,286232528773447237444530,190821685848964824963020,95410842924482412481510
159008,384174552531292076355010,288130914398469057266257,192087276265646038177505,96043638132823019088752
160008,386705105432168768503110,290028829074126576377332,193352552716084384251555,96676276358042192125777
161008,389235030588911200592565,291926272941683400444424,194617515294455600296282,97308757647227800148141
162008,391764328189814361398690,293823246142360771049017,195882164094907180699345,97941082047453590349672
163008,394292998423116790729761,295719748817337593047321,197146499211558395364880,98573249605779197682440
164008,396821041477000513763238,297615781107750385322429,198410520738500256881619,99205260369250128440809
165008,399348457539591150485403,299511343154693362864052,199674228769795575242701,99837114384897787621350
166008,401875246798957879211479,301406435099218409408609,200937623399478939605739,100468811699739469802869
167008,404401409443113473065512,303301057082335104799134,202200704721556736532756,101100352360778368266378
168008,406926945660014256204514,305195209245010692153385,203463472830007128102257,101731736415003564051128
169008,409451855637560271625913,307088891728170203719435,204725927818780135812956,102362963909390067906478
170008,411976139563595113360103,308982104672696335020077,205988069781797556680051,102994034890898778340025
171008,414499797625906086981918,310874848219429565236438,207249898812953043490959,103624949406476521745479
172008,417022830012224136650870,312767122509168102488152,208511415006112068325435,104255707503056034162717
173008,419545236910223910774936,314658927682667933081202,209772618455111955387468,104886309227555977693734
174008,422067018507523740122628,316550263880642805091971,211033509253761870061314,105516754626880935030657
175008,424588174991685747262636,318441131243764310446977,212294087495842873631318,106147043747921436815659
176008,427108706550215693348326,320331529912661770011245,213554353275107846674163,106777176637553923337081
177008,429628613370563189701054,322221460027922392275791,214814306685281594850527,107407153342640797425263
178008,432147895640121551890637,324110921730091163917978,216073947820060775945318,108036973910030387972659
179008,434666553546227945654878,325999915159670959241159,217333276773113972827439,108666638386556986413719
180008,437184587276163277459926,327888440457122458094944,218592293638081638729963,109296146819040819364981
181008,439701997017152340419792,329776497762864255314844,219850998508576170209896,109925499254288085104948
182008,442218782956363734040622,331664087217272800530466,221109391478181867020311,110554695739090933510155
183008,444734945280909907996543,333551208960682430997407,222367472640454953998271,111183736320227476999135
184008,447250484177847220497479,335437863133385415373109,223625242088923610248739,111812621044461805124369
185008,449765399834175901809267,337324049875631926356950,224882699917087950904633,112441349958543975452316
186008,452279692436840076141586,339209769327630057106189,226139846218420038070793,113069923109210019035396
187008,454793362172727834607718,341095021629545875955788,227396681086363917303859,113698340543181958651929
188008,457306409228671154968813,342979806921503366226610,228653204614335577484406,114326602307167788742203
189008,459818833791446032961456,344864125343584524721092,229909416895723016480728,114954708447861508240364
190008,462330636047772372858025,346747977035829279643518,231165318023886186429012,115582659011943093214506
191008,464841816184314140682192,348631362138235605511644,232420908092157070341096,116210454046078535170548
192008,467352374387679262065255,350514280790759446548941,233676187193839631032627,116838093596919815516313
193008,469862310844419717093829,352396733133314787820372,234931155422209858546914,117465577711104929273457
194008,472371625741031503829966,354278719305773627872474,236185812870515751914983,118092906435257875957491
195008,474880319263954703974937,356160239447966027981202,237440159631977351987468,118720079815988675993734
